rikisfang,ar,n
Trínidad og Tóbagó,2003,2
Uruguay,2003,2
Sankti Vinsent og Grenadínur,2003,0
Venesúela,2003,8
Angóla,2003,6
Búrkína Fasó,2003,0
Benín,2003,0
Botswana,2003,0
"Kongó, Lýðstjórnarlýðveldið",2003,1
"Kongó, Lýðveldið",2003,0
Côte d'Ivoire (Fílabeinsströndin),2003,1
Kamerún,2003,0
Cabo Verde (Grænhöfðaeyjar),2003,10
Djibútí,2003,0
Alsír,2003,10
Egyptaland,2003,7
Vestur-Sahara,2003,0
Eritrea,2003,0
Eþíópía,2003,19
Gabon,2003,0
Ghana,2003,19
Gambía,2003,4
Gínea,2003,7
Miðbaugs-Gínea,2003,1
Gínea-Bissaú,2003,0
Kenya,2003,12
Sankti Lúsía,2003,0
Líbería,2003,0
Lesótó,2003,0
Líbía,2003,0
Marokkó,2003,60
Madagaskar,2003,0
Malí,2003,0
Máritanía,2003,0
Máritíus,2003,3
Malaví,2003,0
Mósambík,2003,2
Namibía,2003,12
Níger,2003,0
Nígería,2003,27
Rwanda,2003,1
Seychelles-eyjar,2003,0
Súdan,2003,0
Síerra Leóne,2003,7
Senegal,2003,5
Sómalía,2003,1
Suður-Súdan,2003,0
Chad,2003,0
Tógó,2003,0
Túnis,2003,8
Tansanía,2003,1
Úganda,2003,2
Suður-Afríka,2003,32
Zambia,2003,1
Saír,2003,1
Zimbabwe,2003,1
Afganistan,2003,3
Armenía,2003,1
Azerbaijan,2003,1
Bangladesh,2003,0
Kína,2003,125
Georgía,2003,13
Indónesía,2003,16
Ísrael,2003,8
Indland,2003,39
Írak,2003,8
Íran,2003,4
Jórdanía,2003,8
Japan,2003,28
Kyrgyzstan,2003,1
Kambódía,2003,3
"Kórea, Norður-",2003,0
"Kórea, Suður-",2003,5
Kasakstan,2003,4
Laos,2003,0
Líbanon,2003,4
Srí Lanka,2003,28
Myanmar,2003,0
Mongólía,2003,10
Maldívur,2003,0
Malasía,2003,8
Nepal,2003,30
Óman,2003,0
Filippseyjar,2003,473
Pakistan,2003,8
Palestína,2003,0
Sádi-Arabía,2003,0
Singapore,2003,5
Sýrland,2003,7
Thailand,2003,396
Tadsíkistan,2003,0
Tímor-Leste,2003,0
Túrkmenistan,2003,0
Tyrkland,2003,20
Taiwan,2003,3
Úsbekistan,2003,2
Víetnam,2003,135
Jemen,2003,0
Ástralía,2003,31
Fiji,2003,0
Naúrú,2003,0
Nýja-Sjáland,2003,18
Papúa Nýja-Gínea,2003,0
Salómonseyjar,2003,0
Tonga,2003,0
Vanúatú,2003,0
"Útlönd, ótilgreint land",2003,2
Ríkisfangslaus,2003,18
Ísland,2004,150934
Danmörk,2004,557
Finnland,2004,72
Noregur,2004,233
Svíþjóð,2004,257
Austurríki,2004,43
Belgía,2004,39
Búlgaría,2004,54
Kýpur,2004,0
Tékkland,2004,34
Þýskaland,2004,443
Eistland,2004,52
Spánn,2004,102
Frakkland,2004,121
Bretland,2004,314
Grikkland,2004,6
Ungverjaland,2004,36
Írland,2004,32
Ítalía,2004,80
Litháen (Lietuva),2004,305
Lúxemborg,2004,2
Lettland,2004,65
Malta,2004,2
Holland (Niðurland),2004,106
Pólland,2004,1486
Portúgal,2004,86
Rúmenía,2004,60
Slóvenía,2004,6
Slóvakía,2004,47
Andorra,2004,0
Albanía,2004,19
Bosnia og Herzegovina,2004,53
Hvíta-Rússland,2004,20
Sviss,2004,24
Serbía og Svartfjallaland,2004,1
Króatía,2004,45
Liechtenstein,2004,0
Moldóva,2004,6
Montenegró (Svartfjallaland),2004,0
Norður Makedónía,2004,12
Serbía,2004,0
Rússland,2004,153
San Marínó,2004,0
Fyrrum Sovétríki,2004,0
Úkraína,2004,88
Kósovó,2004,0
Evrópa ótilgreint,2004,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2004,0
Júgóslavía (Serbía og Svartfjallaland),2004,356
Kanada,2004,55
Bandaríkin,2004,388
Antigua og Barbuda,2004,0
Argentína,2004,6
Barbados,2004,1
Bólivía,2004,4
Brasilía,2004,21
Bahamaeyjar,2004,0
Belize,2004,1
Chile,2004,32
Colombia,2004,25
Costa Rica,2004,4
Kúba,2004,14
Dóminíka,2004,0
Dóminíska lýðveldið,2004,4
Ekvador,2004,9
Grenada,2004,0
Guatemala,2004,2
Guyana,2004,5
Hondúras,2004,13
Haítí,2004,0
Jamaíka,2004,5
Sankti Kitts og Nevis,2004,0
Mexíkó,2004,23
Nicaragua,2004,3
Panama,2004,2
Perú,2004,27
Puerto Rico,2004,0
Paraguay,2004,1
Súrinam,2004,0
El Salvador,2004,2
Trínidad og Tóbagó,2004,1
Uruguay,2004,4
Sankti Vinsent og Grenadínur,2004,0
Venesúela,2004,9
Angóla,2004,6
Búrkína Fasó,2004,0
Benín,2004,0
Botswana,2004,0
"Kongó, Lýðstjórnarlýðveldið",2004,1
"Kongó, Lýðveldið",2004,1
Côte d'Ivoire (Fílabeinsströndin),2004,1
Kamerún,2004,0
Cabo Verde (Grænhöfðaeyjar),2004,8
Djibútí,2004,0
Alsír,2004,8
Egyptaland,2004,8
Vestur-Sahara,2004,0
Eritrea,2004,0
Eþíópía,2004,16
Gabon,2004,0
Ghana,2004,16
Gambía,2004,4
Gínea,2004,6
Miðbaugs-Gínea,2004,1
Gínea-Bissaú,2004,0
Kenya,2004,14
Sankti Lúsía,2004,0
Líbería,2004,0
Lesótó,2004,0
Líbía,2004,1
Marokkó,2004,61
Madagaskar,2004,0
Malí,2004,0
Máritanía,2004,0
Máritíus,2004,4
Malaví,2004,2
Mósambík,2004,5
Namibía,2004,14
Níger,2004,0
Nígería,2004,27
Rwanda,2004,1
Seychelles-eyjar,2004,0
Súdan,2004,0
Síerra Leóne,2004,7
Senegal,2004,6
Sómalía,2004,1
Suður-Súdan,2004,0
Chad,2004,0
Tógó,2004,0
Túnis,2004,8
Tansanía,2004,1
Úganda,2004,4
Suður-Afríka,2004,27
Zambia,2004,1
Saír,2004,0
Zimbabwe,2004,0
Afganistan,2004,3
Armenía,2004,1
Azerbaijan,2004,1
Bangladesh,2004,0
Kína,2004,134
Georgía,2004,16
Indónesía,2004,14
Ísrael,2004,7
Indland,2004,42
Írak,2004,7
Íran,2004,7
Jórdanía,2004,7
Japan,2004,32
Kyrgyzstan,2004,1
Kambódía,2004,3
"Kórea, Norður-",2004,0
"Kórea, Suður-",2004,5
Kasakstan,2004,4
Laos,2004,0
Líbanon,2004,4
Srí Lanka,2004,32
Myanmar,2004,0
Mongólía,2004,12
Maldívur,2004,0
Malasía,2004,9
Nepal,2004,32
Óman,2004,0
Filippseyjar,2004,473
Pakistan,2004,12
Palestína,2004,0
Sádi-Arabía,2004,0
Singapore,2004,6
Sýrland,2004,8
Thailand,2004,384
Tadsíkistan,2004,0
Tímor-Leste,2004,0
Túrkmenistan,2004,0
Tyrkland,2004,28
Taiwan,2004,3
Úsbekistan,2004,2
Víetnam,2004,155
Jemen,2004,0
Ástralía,2004,28
Fiji,2004,0
Naúrú,2004,0
Nýja-Sjáland,2004,19
Papúa Nýja-Gínea,2004,0
Salómonseyjar,2004,0
Tonga,2004,0
Vanúatú,2004,0
"Útlönd, ótilgreint land",2004,14
Ríkisfangslaus,2004,21
Ísland,2005,152147
Danmörk,2005,583
Finnland,2005,71
Noregur,2005,212
Svíþjóð,2005,241
Austurríki,2005,50
Belgía,2005,29
Búlgaría,2005,54
Kýpur,2005,0
Tékkland,2005,33
Þýskaland,2005,437
Eistland,2005,48
Spánn,2005,92
Frakkland,2005,121
Bretland,2005,287
Grikkland,2005,6
Ungverjaland,2005,33
Írland,2005,26
Ítalía,2005,209
Litháen (Lietuva),2005,330
Lúxemborg,2005,1
Lettland,2005,66
Malta,2005,1
Holland (Niðurland),2005,103
Pólland,2005,1527
Portúgal,2005,338
Rúmenía,2005,75
Slóvenía,2005,6
Slóvakía,2005,75
Andorra,2005,0
Albanía,2005,17
Bosnia og Herzegovina,2005,60
Hvíta-Rússland,2005,20
Sviss,2005,31
Serbía og Svartfjallaland,2005,31
Króatía,2005,40
Liechtenstein,2005,0
Moldóva,2005,6
Montenegró (Svartfjallaland),2005,0
Norður Makedónía,2005,12
Serbía,2005,0
Rússland,2005,143
San Marínó,2005,0
Fyrrum Sovétríki,2005,0
Úkraína,2005,91
Kósovó,2005,0
Evrópa ótilgreint,2005,1
"Ríki í fyrrum Júgóslavíu, ótilgreint",2005,313
Júgóslavía (Serbía og Svartfjallaland),2005,0
Kanada,2005,61
Bandaríkin,2005,396
Antigua og Barbuda,2005,0
Argentína,2005,4
Barbados,2005,1
Bólivía,2005,4
Brasilía,2005,24
Bahamaeyjar,2005,0
Belize,2005,1
Chile,2005,33
Colombia,2005,27
Costa Rica,2005,4
Kúba,2005,13
Dóminíka,2005,0
Dóminíska lýðveldið,2005,4
Ekvador,2005,10
Grenada,2005,0
Guatemala,2005,2
Guyana,2005,4
Hondúras,2005,11
Haítí,2005,0
Jamaíka,2005,7
Sankti Kitts og Nevis,2005,0
Mexíkó,2005,19
Nicaragua,2005,3
Panama,2005,1
Perú,2005,23
Puerto Rico,2005,0
Paraguay,2005,2
Súrinam,2005,0
El Salvador,2005,3
Trínidad og Tóbagó,2005,0
Uruguay,2005,3
Sankti Vinsent og Grenadínur,2005,0
Venesúela,2005,8
Angóla,2005,5
Búrkína Fasó,2005,0
Benín,2005,0
Botswana,2005,0
"Kongó, Lýðstjórnarlýðveldið",2005,1
"Kongó, Lýðveldið",2005,1
Côte d'Ivoire (Fílabeinsströndin),2005,1
Kamerún,2005,0
Cabo Verde (Grænhöfðaeyjar),2005,10
Djibútí,2005,0
Alsír,2005,5
Egyptaland,2005,7
Vestur-Sahara,2005,0
Eritrea,2005,2
Eþíópía,2005,22
Gabon,2005,0
Ghana,2005,14
Gambía,2005,3
Gínea,2005,7
Miðbaugs-Gínea,2005,1
Gínea-Bissaú,2005,0
Kenya,2005,14
Sankti Lúsía,2005,0
Líbería,2005,0
Lesótó,2005,0
Líbía,2005,1
Marokkó,2005,59
Madagaskar,2005,0
Malí,2005,0
Máritanía,2005,0
Máritíus,2005,3
Malaví,2005,1
Mósambík,2005,4
Namibía,2005,12
Níger,2005,0
Nígería,2005,26
Rwanda,2005,1
Seychelles-eyjar,2005,0
Súdan,2005,0
Síerra Leóne,2005,5
Senegal,2005,6
Sómalía,2005,1
Suður-Súdan,2005,0
Chad,2005,0
Tógó,2005,0
Túnis,2005,7
Tansanía,2005,2
Úganda,2005,5
Suður-Afríka,2005,18
Zambia,2005,1
Saír,2005,0
Zimbabwe,2005,0
Afganistan,2005,3
Armenía,2005,1
Azerbaijan,2005,2
Bangladesh,2005,0
Kína,2005,180
Georgía,2005,12
Indónesía,2005,16
Ísrael,2005,6
Indland,2005,44
Írak,2005,6
Íran,2005,7
Jórdanía,2005,7
Japan,2005,40
Kyrgyzstan,2005,1
Kambódía,2005,2
"Kórea, Norður-",2005,0
"Kórea, Suður-",2005,6
Kasakstan,2005,6
Laos,2005,0
Líbanon,2005,2
Srí Lanka,2005,32
Myanmar,2005,0
Mongólía,2005,14
Maldívur,2005,0
Malasía,2005,10
Nepal,2005,40
Óman,2005,0
Filippseyjar,2005,492
Pakistan,2005,20
Palestína,2005,0
Sádi-Arabía,2005,0
Singapore,2005,5
Sýrland,2005,7
Thailand,2005,377
Tadsíkistan,2005,0
Tímor-Leste,2005,0
Túrkmenistan,2005,0
Tyrkland,2005,26
Taiwan,2005,3
Úsbekistan,2005,3
Víetnam,2005,160
Jemen,2005,0
Ástralía,2005,32
Fiji,2005,0
Naúrú,2005,0
Nýja-Sjáland,2005,16
Papúa Nýja-Gínea,2005,0
Salómonseyjar,2005,0
Tonga,2005,1
Vanúatú,2005,0
"Útlönd, ótilgreint land",2005,17
Ríkisfangslaus,2005,25
Ísland,2006,153438
Danmörk,2006,598
Finnland,2006,81
Noregur,2006,230
Svíþjóð,2006,261
Austurríki,2006,53
Belgía,2006,34
Búlgaría,2006,63
Kýpur,2006,0
Tékkland,2006,37
Þýskaland,2006,668
Eistland,2006,49
Spánn,2006,107
Frakkland,2006,138
Bretland,2006,328
Grikkland,2006,6
Ungverjaland,2006,33
Írland,2006,30
Ítalía,2006,254
Litháen (Lietuva),2006,490
Lúxemborg,2006,1
Lettland,2006,132
Malta,2006,1
Holland (Niðurland),2006,110
Pólland,2006,2793
Portúgal,2006,417
Rúmenía,2006,87
Slóvenía,2006,5
Slóvakía,2006,87
Andorra,2006,0
Albanía,2006,16
Bosnia og Herzegovina,2006,66
Hvíta-Rússland,2006,23
Sviss,2006,36
Serbía og Svartfjallaland,2006,91
Króatía,2006,32
Liechtenstein,2006,0
Moldóva,2006,4
Montenegró (Svartfjallaland),2006,0
Norður Makedónía,2006,18
Serbía,2006,0
Rússland,2006,147
San Marínó,2006,0
Fyrrum Sovétríki,2006,0
Úkraína,2006,110
Kósovó,2006,0
Evrópa ótilgreint,2006,1
"Ríki í fyrrum Júgóslavíu, ótilgreint",2006,294
Júgóslavía (Serbía og Svartfjallaland),2006,0
Kanada,2006,82
Bandaríkin,2006,446
Antigua og Barbuda,2006,0
Argentína,2006,17
Barbados,2006,1
Bólivía,2006,3
Brasilía,2006,33
Bahamaeyjar,2006,0
Belize,2006,1
Chile,2006,44
Colombia,2006,40
Costa Rica,2006,3
Kúba,2006,12
Dóminíka,2006,0
Dóminíska lýðveldið,2006,4
Ekvador,2006,12
Grenada,2006,0
Guatemala,2006,4
Guyana,2006,3
Hondúras,2006,14
Haítí,2006,0
Jamaíka,2006,3
Sankti Kitts og Nevis,2006,0
Mexíkó,2006,21
Nicaragua,2006,0
Panama,2006,1
Perú,2006,21
Puerto Rico,2006,0
Paraguay,2006,3
Súrinam,2006,0
El Salvador,2006,3
Trínidad og Tóbagó,2006,0
Uruguay,2006,8
Sankti Vinsent og Grenadínur,2006,0
Venesúela,2006,9
Angóla,2006,6
Búrkína Fasó,2006,0
Benín,2006,0
Botswana,2006,0
"Kongó, Lýðstjórnarlýðveldið",2006,1
"Kongó, Lýðveldið",2006,1
Côte d'Ivoire (Fílabeinsströndin),2006,2
Kamerún,2006,2
Cabo Verde (Grænhöfðaeyjar),2006,8
Djibútí,2006,0
Alsír,2006,4
Egyptaland,2006,6
Vestur-Sahara,2006,0
Eritrea,2006,0
Eþíópía,2006,23
Gabon,2006,0
Ghana,2006,19
Gambía,2006,3
Gínea,2006,8
Miðbaugs-Gínea,2006,0
Gínea-Bissaú,2006,0
Kenya,2006,18
Sankti Lúsía,2006,0
Líbería,2006,0
Lesótó,2006,4
Líbía,2006,1
Marokkó,2006,71
Madagaskar,2006,0
Malí,2006,0
Máritanía,2006,0
Máritíus,2006,3
Malaví,2006,1
Mósambík,2006,3
Namibía,2006,12
Níger,2006,1
Nígería,2006,30
Rwanda,2006,1
Seychelles-eyjar,2006,0
Súdan,2006,0
Síerra Leóne,2006,5
Senegal,2006,6
Sómalía,2006,1
Suður-Súdan,2006,0
Chad,2006,0
Tógó,2006,0
Túnis,2006,2
Tansanía,2006,5
Úganda,2006,7
Suður-Afríka,2006,20
Zambia,2006,1
Saír,2006,0
Zimbabwe,2006,0
Afganistan,2006,3
Armenía,2006,1
Azerbaijan,2006,2
Bangladesh,2006,0
Kína,2006,542
Georgía,2006,13
Indónesía,2006,13
Ísrael,2006,7
Indland,2006,57
Írak,2006,5
Íran,2006,6
Jórdanía,2006,6
Japan,2006,41
Kyrgyzstan,2006,1
Kambódía,2006,2
"Kórea, Norður-",2006,0
"Kórea, Suður-",2006,6
Kasakstan,2006,8
Laos,2006,0
Líbanon,2006,2
Srí Lanka,2006,38
Myanmar,2006,0
Mongólía,2006,15
Maldívur,2006,0
Malasía,2006,13
Nepal,2006,53
Óman,2006,0
Filippseyjar,2006,580
Pakistan,2006,67
Palestína,2006,0
Sádi-Arabía,2006,0
Singapore,2006,6
Sýrland,2006,5
Thailand,2006,420
Tadsíkistan,2006,0
Tímor-Leste,2006,0
Túrkmenistan,2006,0
Tyrkland,2006,27
Taiwan,2006,1
Úsbekistan,2006,3
Víetnam,2006,167
Jemen,2006,0
Ástralía,2006,50
Fiji,2006,0
Naúrú,2006,0
Nýja-Sjáland,2006,19
Papúa Nýja-Gínea,2006,0
Salómonseyjar,2006,0
Tonga,2006,1
Vanúatú,2006,0
"Útlönd, ótilgreint land",2006,20
Ríkisfangslaus,2006,37
Ísland,2007,154537
Danmörk,2007,616
Finnland,2007,87
Noregur,2007,224
Svíþjóð,2007,280
Austurríki,2007,70
Belgía,2007,36
Búlgaría,2007,74
Kýpur,2007,1
Tékkland,2007,130
Þýskaland,2007,821
Eistland,2007,65
Spánn,2007,112
Frakkland,2007,153
Bretland,2007,360
Grikkland,2007,8
Ungverjaland,2007,44
Írland,2007,35
Ítalía,2007,263
Litháen (Lietuva),2007,844
Lúxemborg,2007,2
Lettland,2007,281
Malta,2007,1
Holland (Niðurland),2007,122
Pólland,2007,5445
Portúgal,2007,701
Rúmenía,2007,102
Slóvenía,2007,47
Slóvakía,2007,193
Andorra,2007,0
Albanía,2007,16
Bosnia og Herzegovina,2007,76
Hvíta-Rússland,2007,26
Sviss,2007,39
Serbía og Svartfjallaland,2007,0
Króatía,2007,107
Liechtenstein,2007,0
Moldóva,2007,10
Montenegró (Svartfjallaland),2007,0
Norður Makedónía,2007,20
Serbía,2007,16
Rússland,2007,147
San Marínó,2007,0
Fyrrum Sovétríki,2007,0
Úkraína,2007,127
Kósovó,2007,0
Evrópa ótilgreint,2007,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2007,348
Júgóslavía (Serbía og Svartfjallaland),2007,0
Kanada,2007,117
Bandaríkin,2007,509
Antigua og Barbuda,2007,0
Argentína,2007,20
Barbados,2007,1
Bólivía,2007,2
Brasilía,2007,41
Bahamaeyjar,2007,0
Belize,2007,1
Chile,2007,51
Colombia,2007,42
Costa Rica,2007,6
Kúba,2007,10
Dóminíka,2007,0
Dóminíska lýðveldið,2007,3
Ekvador,2007,13
Grenada,2007,0
Guatemala,2007,4
Guyana,2007,4
Hondúras,2007,13
Haítí,2007,1
Jamaíka,2007,3
Sankti Kitts og Nevis,2007,0
Mexíkó,2007,22
Nicaragua,2007,0
Panama,2007,1
Perú,2007,26
Puerto Rico,2007,0
Paraguay,2007,3
Súrinam,2007,0
El Salvador,2007,3
Trínidad og Tóbagó,2007,0
Uruguay,2007,9
Sankti Vinsent og Grenadínur,2007,0
Venesúela,2007,12
Angóla,2007,6
Búrkína Fasó,2007,0
Benín,2007,0
Botswana,2007,0
"Kongó, Lýðstjórnarlýðveldið",2007,1
"Kongó, Lýðveldið",2007,0
Côte d'Ivoire (Fílabeinsströndin),2007,2
Kamerún,2007,2
Cabo Verde (Grænhöfðaeyjar),2007,6
Djibútí,2007,1
Alsír,2007,5
Egyptaland,2007,6
Vestur-Sahara,2007,0
Eritrea,2007,0
Eþíópía,2007,26
Gabon,2007,0
Ghana,2007,18
Gambía,2007,4
Gínea,2007,6
Miðbaugs-Gínea,2007,0
Gínea-Bissaú,2007,0
Kenya,2007,17
Sankti Lúsía,2007,0
Líbería,2007,0
Lesótó,2007,4
Líbía,2007,1
Marokkó,2007,85
Madagaskar,2007,0
Malí,2007,0
Máritanía,2007,0
Máritíus,2007,4
Malaví,2007,1
Mósambík,2007,3
Namibía,2007,10
Níger,2007,2
Nígería,2007,29
Rwanda,2007,1
Seychelles-eyjar,2007,0
Súdan,2007,0
Síerra Leóne,2007,5
Senegal,2007,5
Sómalía,2007,1
Suður-Súdan,2007,0
Chad,2007,0
Tógó,2007,1
Túnis,2007,4
Tansanía,2007,6
Úganda,2007,8
Suður-Afríka,2007,18
Zambia,2007,2
Saír,2007,0
Zimbabwe,2007,1
Afganistan,2007,3
Armenía,2007,1
Azerbaijan,2007,3
Bangladesh,2007,0
Kína,2007,697
Georgía,2007,12
Indónesía,2007,51
Ísrael,2007,9
Indland,2007,87
Írak,2007,4
Íran,2007,11
Jórdanía,2007,2
Japan,2007,45
Kyrgyzstan,2007,0
Kambódía,2007,2
"Kórea, Norður-",2007,0
"Kórea, Suður-",2007,6
Kasakstan,2007,9
Laos,2007,0
Líbanon,2007,3
Srí Lanka,2007,46
Myanmar,2007,0
Mongólía,2007,14
Maldívur,2007,0
Malasía,2007,14
Nepal,2007,56
Óman,2007,0
Filippseyjar,2007,574
Pakistan,2007,93
Palestína,2007,0
Sádi-Arabía,2007,0
Singapore,2007,4
Sýrland,2007,6
Thailand,2007,428
Tadsíkistan,2007,0
Tímor-Leste,2007,0
Túrkmenistan,2007,0
Tyrkland,2007,29
Taiwan,2007,1
Úsbekistan,2007,1
Víetnam,2007,165
Jemen,2007,0
Ástralía,2007,58
Fiji,2007,0
Naúrú,2007,0
Nýja-Sjáland,2007,30
Papúa Nýja-Gínea,2007,0
Salómonseyjar,2007,0
Tonga,2007,1
Vanúatú,2007,0
"Útlönd, ótilgreint land",2007,0
Ríkisfangslaus,2007,62
Ísland,2008,155572
Danmörk,2008,653
Finnland,2008,94
Noregur,2008,219
Svíþjóð,2008,345
Austurríki,2008,79
Belgía,2008,42
Búlgaría,2008,74
Kýpur,2008,1
Tékkland,2008,220
Þýskaland,2008,914
Eistland,2008,78
Spánn,2008,130
Frakkland,2008,183
Bretland,2008,394
Grikkland,2008,11
Ungverjaland,2008,77
Írland,2008,44
Ítalía,2008,214
Litháen (Lietuva),2008,1236
Lúxemborg,2008,2
Lettland,2008,409
Malta,2008,4
Holland (Niðurland),2008,139
Pólland,2008,8825
Portúgal,2008,870
Rúmenía,2008,137
Slóvenía,2008,38
Slóvakía,2008,204
Andorra,2008,0
Albanía,2008,15
Bosnia og Herzegovina,2008,59
Hvíta-Rússland,2008,28
Sviss,2008,48
Serbía og Svartfjallaland,2008,0
Króatía,2008,40
Liechtenstein,2008,0
Moldóva,2008,10
Montenegró (Svartfjallaland),2008,0
Norður Makedónía,2008,19
Serbía,2008,94
Rússland,2008,160
San Marínó,2008,0
Fyrrum Sovétríki,2008,0
Úkraína,2008,135
Kósovó,2008,0
Evrópa ótilgreint,2008,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2008,248
Júgóslavía (Serbía og Svartfjallaland),2008,0
Kanada,2008,189
Bandaríkin,2008,491
Antigua og Barbuda,2008,0
Argentína,2008,11
Barbados,2008,1
Bólivía,2008,2
Brasilía,2008,61
Bahamaeyjar,2008,0
Belize,2008,0
Chile,2008,34
Colombia,2008,36
Costa Rica,2008,7
Kúba,2008,19
Dóminíka,2008,0
Dóminíska lýðveldið,2008,2
Ekvador,2008,13
Grenada,2008,0
Guatemala,2008,4
Guyana,2008,5
Hondúras,2008,13
Haítí,2008,1
Jamaíka,2008,2
Sankti Kitts og Nevis,2008,0
Mexíkó,2008,19
Nicaragua,2008,1
Panama,2008,1
Perú,2008,27
Puerto Rico,2008,0
Paraguay,2008,3
Súrinam,2008,0
El Salvador,2008,7
Trínidad og Tóbagó,2008,0
Uruguay,2008,5
Sankti Vinsent og Grenadínur,2008,0
Venesúela,2008,17
Angóla,2008,5
Búrkína Fasó,2008,1
Benín,2008,0
Botswana,2008,0
"Kongó, Lýðstjórnarlýðveldið",2008,1
"Kongó, Lýðveldið",2008,0
Côte d'Ivoire (Fílabeinsströndin),2008,2
Kamerún,2008,3
Cabo Verde (Grænhöfðaeyjar),2008,9
Djibútí,2008,1
Alsír,2008,5
Egyptaland,2008,6
Vestur-Sahara,2008,0
Eritrea,2008,1
Eþíópía,2008,31
Gabon,2008,0
Ghana,2008,20
Gambía,2008,3
Gínea,2008,5
Miðbaugs-Gínea,2008,0
Gínea-Bissaú,2008,0
Kenya,2008,26
Sankti Lúsía,2008,0
Líbería,2008,0
Lesótó,2008,0
Líbía,2008,1
Marokkó,2008,77
Madagaskar,2008,0
Malí,2008,0
Máritanía,2008,0
Máritíus,2008,4
Malaví,2008,0
Mósambík,2008,2
Namibía,2008,11
Níger,2008,1
Nígería,2008,31
Rwanda,2008,1
Seychelles-eyjar,2008,0
Súdan,2008,0
Síerra Leóne,2008,4
Senegal,2008,5
Sómalía,2008,0
Suður-Súdan,2008,0
Chad,2008,0
Tógó,2008,0
Túnis,2008,4
Tansanía,2008,9
Úganda,2008,12
Suður-Afríka,2008,19
Zambia,2008,3
Saír,2008,0
Zimbabwe,2008,1
Afganistan,2008,3
Armenía,2008,1
Azerbaijan,2008,3
Bangladesh,2008,1
Kína,2008,330
Georgía,2008,12
Indónesía,2008,61
Ísrael,2008,8
Indland,2008,109
Írak,2008,3
Íran,2008,15
Jórdanía,2008,4
Japan,2008,50
Kyrgyzstan,2008,0
Kambódía,2008,3
"Kórea, Norður-",2008,0
"Kórea, Suður-",2008,6
Kasakstan,2008,7
Laos,2008,0
Líbanon,2008,4
Srí Lanka,2008,50
Myanmar,2008,0
Mongólía,2008,16
Maldívur,2008,0
Malasía,2008,17
